animal,time,held,firstBlock,secondBlock,thirdBlock,fourthBlock,I2FirstSpike,I2FirstLargeSpike,I2End
Q19,109,False,0.6859999999999928,1.8590000000000089,0,0.695999999999998,NaN,NaN,NaN
Q19,151,False,0.4755000000000109,0.5194999999999936,0.9849999999999852,0.7345000000000255,NaN,NaN,NaN
Q19,190,False,0.4525000000000148,1.204499999999996,1.0080000000000098,0.6864999999999952,NaN,NaN,NaN
Q19,440,False,0.09149999999999636,0.7769999999999868,0.9120000000000346,0.5749999999999886,NaN,NaN,NaN
Q30,556,False,0.6277999999999793,1.1018000000000256,0,1.3390000000000555,NaN,NaN,NaN
Q30,589,False,0.4237999999999147,0.2597999999999274,1.4676000000000613,0.6779999999999973,NaN,NaN,NaN
Q30,635,False,0.6782000000000608,1.1169999999999618,1.0815999999999804,1.2430000000000518,NaN,NaN,NaN
Q19,113,True,0.7985000000000042,0.3795000000000073,0.9449999999999932,0.875,113.64,113.93,114.61
Q19,155,True,0.7924999999999898,0.9534999999999911,0.8514999999999873,0.47150000000002024,154.93,155.3,156.
Q19,198,True,0.34850000000000136,1.2410000000000139,1.2789999999999964,0.29599999999999227,197.87,197.87,198.85
Q19,446,True,0.7985000000000042,0.39749999999997954,1.8809999999999718,0.6890000000000214,446.69,446.8,447.6
Q30,560,True,0.0966000000000804,1.7308000000000447,1.3239999999999554,0.9410000000000309,560.41,560.41,562.01
Q30,597,True,0.05199999999990723,1.2729999999999109,2.233400000000074,0.9887999999999693,597.17,597.17,598.65
Q30,646,True,0.32960000000002765,1.9704000000000406,0.6701999999999089,1.0150000000001,646.29,646.29,647.97
