Animal,Behavior,X.,StartI2FS,StartI2,EndI2,StartRNHF,EndRN,StartB3,EndB3,StartB6B9,EndB6B9,StartB43,EndB43,StartB38prot,EndB38prot,StartB38retr,EndB38retr,StartB10prot,EndB10prot,StartB10retr,StartB4B5,EndB4B5
Q4,bite,1,186.169,186.831,190.131,189.246,192.5285,192.3575,192.5805,192.0465,192.957,193.0557,193.3465,NaN,NaN,193.9415,194.2965,188.8885,189.872,190.1745,190.3068,190.7844
Q4,bite,2,202.9585,203.9985,206.4085,205.324,208.783,208.6905,208.8872,208.263,209.1125,209.2195,209.851,NaN,NaN,NaN,NaN,204.586,206.2935,206.5375,206.6044,208.3885
Q4,bite,3,209.867,212.037,213.9125,213.2186,216.0186,215.8975,215.8976,215.728,216.3925,216.513,216.8665,NaN,NaN,216.622,217.857,212.4035,213.232,213.9459,214.0346,215.1814
Q4,bite,4,233.1405,233.1405,235.7565,235.0971,237.8636,237.35,238.0035,237.3945,238.083,238.092,238.829,NaN,NaN,237.7122,238.6393,234.2275,235.0587,235.8296,235.9914,235.9953
Q4,bite,5,315.869,317.209,319.4075,318.6326,321.2091,321.4515,321.603,320.942,321.603,321.627,322.5925,NaN,NaN,NaN,NaN,317.8145,318.587,319.471,319.848,321.3705
Q4,bite,6,329.9245,330.3945,333.9745,332.3905,335.226,NaN,NaN,335.001,335.7645,335.8355,336.454,NaN,NaN,336.3875,336.3875,331.75,332.765,333.6355,333.8794,335.1434
Q4,bite,7,338.979,340.349,343.089,342.2975,344.7945,NaN,NaN,343.337,345.3285,345.4385,346.0099,NaN,NaN,NaN,NaN,341.7255,342.504,343.1727,341.6534,344.9169
Q4,bite,8,359.872,360.562,363.322,362.005,364.615,365.031,365.0311,364.4425,365.075,365.2013,366.474,NaN,NaN,365.518,365.518,360.9925,362.163,363.0218,362.8054,364.8659
Q4,bite,9,613.1355,613.4555,618.2355,616.1477,620.5125,620.7258,620.9695,620.157,621.171,621.1875,621.9685,NaN,NaN,NaN,NaN,NaN,NaN,618.3865,619.1479,621.0639
Q4,bite,10,658.5565,659.8965,663.3865,662.166,665.818,666.3015,666.3016,665.2515,666.1875,666.2695,667.2385,NaN,NaN,667.5125,668.081,661.086,662.391,663.4852,663.5459,665.7359
Q4,bite,11,300.745,301.035,307.809,305.4885,310.5885,NaN,NaN,310.342,311.4195,311.582,312.07,NaN,NaN,311.5727,313.0852,302.594,306.259,307.825,308.4884,311.0459
Q4,bite,12,330.434,331.384,334.4535,332.9525,338.24,337.64,338.8055,336.7555,338.8055,338.84,339.2825,NaN,NaN,339.0277,340.1717,NaN,NaN,334.4745,334.6969,338.5704
Q4,bite,13,350.498,351.618,354.2785,353.0961,357.099,357.0938,357.461,356.543,357.381,357.544,357.912,NaN,NaN,357.5822,358.8727,352.8031,352.937,354.4449,354.6189,357.0264
Q4,weak bite,1,698.2105,700.3305,704.688,704.5755,709.6728,709.0995,710.06,708.217,710.234,710.344,711.171,NaN,NaN,NaN,NaN,NaN,NaN,704.85,704.8864,710.2359
Q4,weak bite,2,368.0855,368.8055,371.597,371.0175,373.942,373.1375,373.7515,372.9225,373.996,374.0075,374.7685,NaN,NaN,NaN,NaN,NaN,NaN,371.2645,371.9674,373.6099
Q4,thin swallow,1,248.1845,248.5645,250.464,250.35,253.3055,251.865,253.174,252.0145,253.2785,253.3945,254.2755,247.1167,249.8455,253.4815,255.2565,NaN,NaN,250.5087,251.5839,253.3434
Q4,thin swallow,2,260.959,261.919,263.3505,263.3775,266.5832,264.919,266.4605,265.1112,266.2827,266.363,267.5625,259.209,262.0465,266.9695,267.8735,NaN,NaN,263.7552,263.7924,266.6349
Q4,thin swallow,3,269.308,269.528,270.799,270.7835,274.2835,272.473,273.4777,273.1687,273.8417,273.7354,274.6815,266.6562,270.0385,274.0545,275.6705,NaN,NaN,271.3345,271.3759,273.5064
Q4,thin swallow,4,277.445,277.895,279.305,279.0062,282.5745,280.8015,282.3165,281.2297,282.3235,282.379,283.4085,277.0132,278.2457,282.4705,284.153,NaN,NaN,279.4715,279.5844,282.7764
Q4,thin swallow,5,285.0165,285.0165,286.5165,286.3443,288.9765,288.0495,288.8552,287.7537,289.0238,288.938,289.5945,282.8137,285.6267,289.0665,290.382,NaN,NaN,286.6665,286.9789,288.5659
Q4,thin swallow,6,291.801,292.411,293.8965,293.5385,295.8415,295.4735,295.914,295.2615,295.98,296.0315,297.099,NaN,NaN,NaN,NaN,NaN,NaN,293.963,294.5424,295.6784
Q4,thin swallow,7,520.836,521.086,522.864,522.9455,525.1055,524.2295,524.9355,523.998,525.199,525.2145,525.9325,520.4092,522.0707,525.284,526.8245,NaN,NaN,523.1959,523.5594,524.9739
Q4,thin swallow,8,526.382,526.812,528.392,528.6125,531.739,529.7485,531.59,529.6983,531.3255,531.42,532.76,526.4215,527.666,531.571,532.7555,NaN,NaN,528.8803,529.0679,531.4809
Q4,VR thin swallow,9,541.6325,542.6225,544.3625,543.5795,547.688,546.6845,546.9735,546.0225,547.2165,547.262,548.1655,NaN,NaN,547.7985,548.9535,NaN,NaN,544.44,544.7709,546.9074
Q4,VR thin swallow,10,554.9755,555.8055,557.396,556.9555,559.7084,559.2615,559.4613,558.689,559.7135,559.7255,560.733,NaN,NaN,560.028,561.603,NaN,NaN,557.5715,558.0294,559.7769
Q4,thin swallow,11,561.2285,561.8185,563.5635,563.517,565.9026,564.8878,565.6973,564.6645,566.076,566.1058,566.607,560.8442,562.7117,566.335,567.4775,NaN,NaN,563.495,563.7014,565.7789
Q4,VR thin swallow,12,578.3065,579.0965,580.7105,580.3893,582.6583,581.9617,582.5323,581.9217,582.4073,583.02,583.705,578.455,579.6373,584.5807,584.9047,NaN,NaN,581.045,581.2454,582.5604
Q4,VR thin swallow,13,583.8905,585.5405,586.7605,586.5005,588.782,588.3648,588.3649,587.923,588.711,588.759,589.7365,584.5948,585.2118,590.2685,590.3095,NaN,NaN,587.0121,586.3034,588.5799
Q4,thick swallow,1,461.6985,462.1885,463.656,463.614,465.7235,465.8203,465.8204,464.974,466.4,466.5325,467.238,460.2287,462.372,466.5415,468.167,NaN,NaN,463.7656,464.3994,466.1914
Q4,VR thick swallow,2,491.266,492.44,495.15,493.729,497.729,497.9928,498.5253,497.255,498.9035,498.945,499.4775,488.8652,491.2422,499.002,500.459,NaN,NaN,495.2463,495.3559,498.7489
Q4,thick swallow,3,509.604,510.344,511.775,511.368,514.5295,513.7228,513.9278,512.649,514.2175,514.2352,514.88,507.5477,509.5217,514.3155,515.8425,NaN,NaN,511.7422,512.1224,514.1982
Q4,thick swallow,4,515.2045,515.9845,517.7555,517.604,520.8956,519.195,519.7455,519.195,519.9905,520.1885,520.8155,514.8582,516.5392,520.224,521.787,NaN,NaN,517.8275,518.3994,519.8944
Q4,thick swallow,5,533.125,533.995,535.5565,535.216,537.522,537.5902,537.5903,536.2305,537.738,537.799,538.751,529.3618,533.1488,537.8345,538.745,NaN,NaN,535.73,535.9379,537.7459
Q10,bite,1,210.472,210.882,212.6395,212.1697,214.0077,NaN,NaN,213.8167,214.2251,214.209,214.9775,208.7957,209.4297,214.2265,214.2265,212.2575,212.4435,212.664,212.6505,213.8447
Q10,bite,2,214.8585,215.7685,217.3185,216.74,217.8863,218.215,218.2151,218.3318,218.8518,218.668,219.2485,NaN,NaN,218.861,219.5385,216.142,217.143,217.2561,217.315,218.0869
